Customer_ID,Customer_Name,Email,Product,Quantity,Price_Per_Item,Total_Price,Purchase_Date,Season
49,Tracy Gates,andersonbridget@johnson.com,Boots,2,3135,6270,2024-02-25,Winter
50,James Cannon,sarahbowers@yahoo.com,Loafers,1,4296,4296,2024-10-09,Autumn
51,Amanda Schwartz,lmcfarland@tanner.org,Sweater,2,2018,4036,2024-12-20,Winter
52,Kelly Miller,yfarley@hotmail.com,Cardigan,1,2671,2671,2024-10-12,Autumn
53,Steven Webb,lsmith@smith.com,Light Jacket,1,2667,2667,2023-05-14,Spring
54,Corey Mora,justin75@gmail.com,Waterproof Shoes,5,2172,10860,2023-09-26,Monsoon
55,Jade Hunter,hammondmelanie@hotmail.com,Sunglasses,4,1820,7280,2024-07-28,Summer
56,Nancy Carrillo,justin22@gmail.com,Blazer,4,2063,8252,2023-09-28,Autumn
57,Kylie Chen,donna25@hotmail.com,Umbrella,2,4427,8854,2024-06-13,Monsoon
58,Sean Hill,conwayamber@brooks.net,Sandals,2,2625,5250,2024-06-18,Summer
59,Jessica Mills,oscott@gmail.com,Boots,1,4321,4321,2023-12-20,Winter
60,Patrick Dennis,michael86@hotmail.com,Jacket,4,3606,14424,2024-01-10,Winter
61,Jason Bailey,nsmith@hotmail.com,Sneakers,4,1208,4832,2023-05-03,Spring
62,Kelly Daniels,raymondkyle@gmail.com,Sandals,3,1303,3909,2023-06-01,Summer
63,Vanessa Ferguson,eblack@hotmail.com,T-Shirt,3,4652,13956,2023-05-16,Spring
64,Michael Bradley,tyu@kelley.com,Light Jacket,3,3250,9750,2024-03-15,Spring
65,Terry Smith,xhoward@hotmail.com,Sunglasses,4,3245,12980,2024-06-22,Summer
66,Ronald Smith,mvance@yahoo.com,Light Jacket,3,4836,14508,2024-05-20,Spring
67,Rodney Vargas,dsmith@hotmail.com,Sunglasses,2,933,1866,2024-06-13,Summer
68,Gary Carter,daycheryl@valenzuela.com,Sunglasses,3,795,2385,2023-08-11,Summer
69,Edwin May,christineallen@hotmail.com,Jeans,4,2570,10280,2023-05-22,Spring
70,Mary Lopez,dustinjohnson@hotmail.com,Waterproof Shoes,3,3373,10119,2024-06-12,Monsoon
71,Monica Green,chenann@hotmail.com,Full-Sleeve Shirt,4,2133,8532,2024-10-28,Autumn
72,Jeffrey Fletcher,morristracie@yahoo.com,Blazer,3,514,1542,2023-09-22,Autumn
73,Kim Logan,victoriacummings@goodwin.com,Sweater,1,2955,2955,2024-12-08,Winter
74,Jody Black,emmaduncan@hotmail.com,Light Jacket,3,3213,9639,2023-04-12,Spring
75,Anthony Ray,derekedwards@young-weiss.com,Boots,5,1461,7305,2024-12-03,Winter
76,Scott Sparks,brandon91@hotmail.com,Sweater,4,3805,15220,2024-12-12,Winter
77,Stephen Camacho,hannah66@johnston.net,Loafers,4,4683,18732,2023-11-01,Autumn
78,Michael Alvarado,ramospatricia@hotmail.com,Blazer,3,3240,9720,2024-11-22,Autumn
79,Danielle Jenkins,rachelhudson@hotmail.com,Boots,1,2216,2216,2024-02-04,Winter
80,Mrs. Robin Dunn PhD,melissa03@gmail.com,Umbrella,4,1111,4444,2024-06-24,Monsoon
81,Sean Gonzalez,dennisstout@hotmail.com,Light Jacket,4,3049,12196,2023-03-14,Spring
82,Christina Burke,dannyarnold@hotmail.com,Waterproof Shoes,4,1093,4372,2024-07-18,Monsoon
83,David Adkins,stephanie80@yahoo.com,Sandals,4,2611,10444,2023-08-07,Summer
84,Vanessa Owens,drewortiz@gmail.com,Loafers,4,4274,17096,2024-10-28,Autumn
85,Kiara Thomas,michaelboyd@yahoo.com,Cardigan,3,4980,14940,2023-09-02,Autumn
86,Tabitha Robinson,cameronandrew@gmail.com,Sunglasses,3,4008,12024,2023-06-25,Summer
87,Jeffrey Knight,monica39@martinez.com,Jeans,3,4146,12438,2024-03-07,Spring
88,Sharon Brooks,kerri43@hotmail.com,Waterproof Shoes,1,1599,1599,2025-06-01,Monsoon
89,Joshua Hopkins,luismyers@roberts-dominguez.com,Blazer,2,4099,8198,2023-10-07,Autumn
90,Kenneth Contreras,brittanyrogers@yahoo.com,Cardigan,1,3499,3499,2023-09-09,Autumn
91,Samantha Moreno,ogarza@gmail.com,Jeans,1,4301,4301,2023-03-01,Spring
92,Christopher Scott,cwelch@hotmail.com,Loafers,3,3963,11889,2023-09-27,Autumn
93,Arthur Young,jenniferhernandez@yahoo.com,Sneakers,2,4737,9474,2024-05-08,Spring
94,Amanda Grimes,jennifer14@hotmail.com,Scarf,3,4322,12966,2024-01-20,Winter
95,Kenneth Williams,angela59@obrien-rivera.com,Cardigan,2,3392,6784,2025-11-05,Autumn
96,John Monroe,ryan51@smith.com,Scarf,3,549,1647,2023-12-26,Winter
97,Regina Savage,angelawashington@hopkins.org,Boots,4,3786,15144,2024-02-28,Winter
98,Kimberly Carr,ryan60@cordova.org,Jacket,2,2447,4894,2023-12-23,Winter
99,Laura Schaefer,tsmith@gmail.com,Full-Sleeve Shirt,5,1337,6685,2023-10-24,Autumn
100,Zachary Velez,barnesjasmine@phillips.net,Umbrella,4,3871,15484,2024-06-24,Monsoon
101,Ronald Sullivan,mwalker@larsen-contreras.com,Sunglasses,4,4536,18144,2024-07-20,Summer
102,Virginia Berry,elizabeth51@yahoo.com,Blazer,5,4726,23630,2024-09-27,Autumn
103,Kathryn Palmer,phillipmurphy@yahoo.com,Sneakers,3,4095,12285,2023-05-14,Spring
104,Charles Jones,tanya46@hotmail.com,Light Jacket,1,1530,1530,2024-05-23,Spring
105,Shannon Williams,karen45@yahoo.com,Light Jacket,1,3355,3355,2023-04-07,Spring
106,Lawrence Johnson,walkerrobert@brown.com,T-Shirt,5,979,4895,2024-03-17,Spring
107,Jack Evans,eddie13@yahoo.com,Raincoat,2,3168,6336,2024-09-28,Monsoon
108,Mark Coleman,paul84@williams-johnson.com,Sweater,5,2376,11880,2023-02-11,Winter
109,Ellen Robinson,melissa15@gmail.com,T-Shirt,3,693,2079,2024-05-12,Spring
110,Billy Kelly,mmayo@bell.com,Waterproof Shoes,1,3571,3571,2024-06-28,Monsoon
111,Julia Dixon,kathybanks@matthews.org,Tank Top,4,2708,10832,2023-07-16,Summer
112,Matthew Walters,theresajackson@yahoo.com,Sunglasses,3,2260,6780,2024-06-07,Summer
113,Jessica Rowe,mdavis@miller.info,Boots,5,2606,13030,2025-01-04,Winter
114,Ronald Gutierrez,antonio41@todd.com,Umbrella,4,3371,13484,2023-07-26,Monsoon
115,Abigail Dominguez,evanskatherine@horton.com,Sweater,5,3564,17820,2023-01-01,Winter
116,Patricia Blackwell,baldwingeorge@vasquez.biz,Light Jacket,2,2248,4496,2024-04-07,Spring
117,Lisa Taylor,dominguezsamantha@peters.net,Blazer,2,2510,5020,2024-09-15,Autumn
118,Vanessa Richard,peterskara@hotmail.com,Scarf,4,2435,9740,2023-01-21,Winter
119,Jordan Garcia,meyerlori@gmail.com,Blazer,4,4073,16292,2023-10-12,Autumn
120,Tommy Baldwin,michellespencer@delgado.com,Umbrella,3,3009,9027,2023-07-09,Monsoon
121,Lisa Morales,toni65@dean.com,Blazer,5,648,3240,2023-09-26,Autumn
122,Brian Whitaker,epowers@hotmail.com,Scarf,1,3144,3144,2024-01-01,Winter
123,Lindsey Kaufman,paulbrooks@cain-kelley.com,Waterproof Shoes,1,4758,4758,2024-07-07,Monsoon
124,Tyler Johnson,travisstewart@hotmail.com,Full-Sleeve Shirt,1,4590,4590,2024-10-28,Autumn
125,Austin Hart,kristin84@nunez.com,T-Shirt,4,3332,13328,2024-03-25,Spring
126,Brian Moore,danielle01@yahoo.com,Scarf,5,3405,17025,2024-12-28,Winter
127,Melissa Hudson,amaxwell@gmail.com,Waterproof Shoes,1,2446,2446,2024-06-05,Monsoon
128,Christina Curtis,tsteele@taylor.org,Loafers,3,951,2853,2023-10-13,Autumn
129,Zachary Sullivan,juan95@yahoo.com,Shorts,2,4063,8126,2024-07-19,Summer
130,Jack Lewis,floresgary@anderson.net,Raincoat,1,1560,1560,2023-06-09,Monsoon
131,Zachary Avila,ronald09@gmail.com,Tank Top,3,1861,5583,2024-06-17,Summer
132,Laura Johnson,james10@hotmail.com,Boots,4,612,2448,2023-12-04,Winter
133,Krystal Little,fstevens@boyer.com,Loafers,2,4920,9840,2024-09-21,Autumn
134,Lisa Gibbs,ljones@parrish.org,Blazer,1,2216,2216,2023-10-18,Autumn
135,Jennifer Miles,amy48@anderson.biz,Boots,4,4566,18264,2024-01-28,Winter
136,Mr. Ryan May,martinmia@yahoo.com,Umbrella,1,1293,1293,2024-07-09,Monsoon
137,Gary Perez,vhogan@chavez.com,Raincoat,4,1487,5948,2024-07-03,Monsoon
138,Susan Lopez,fraziercynthia@hotmail.com,Tank Top,1,3284,3284,2024-07-18,Summer
139,Audrey Li,mary03@nguyen-haynes.biz,Full-Sleeve Shirt,2,3969,7938,2024-10-27,Autumn
140,Stephanie Goodman,kaylarose@arnold.com,Umbrella,2,1001,2002,2024-07-04,Monsoon
141,Breanna Hayes,nguyenlinda@smith-charles.com,Raincoat,2,1522,3044,2023-06-22,Monsoon
142,Sonia Mccormick,blankenshipcolleen@sullivan-patrick.biz,Jeans,2,3546,7092,2025-05-08,Spring
143,Gary Allen,louis18@robbins.com,Sneakers,5,4052,20260,2023-03-05,Spring
144,Denise Schultz,michaelpratt@gmail.com,Waterproof Shoes,3,2917,8751,2023-09-28,Monsoon
145,Tammy Elliott,carla93@hotmail.com,Loafers,3,721,2163,2025-10-07,Autumn
146,Terry Meyers,matthewwheeler@williams.net,Jeans,2,1941,3882,2024-03-12,Spring
147,Mary Sullivan,jose12@hotmail.com,Boots,3,3105,9315,2023-12-10,Winter
148,Krista House,mirandamichelle@gmail.com,Umbrella,5,4222,21110,2025-08-08,Monsoon
149,Sean Mcdowell,johnpowell@fowler.com,Scarf,2,2776,5552,2024-01-22,Winter
150,Nicole Reyes,brian54@hotmail.com,Tank Top,3,4336,13008,2024-06-15,Summer
151,Darren Burnett,johnstevens@obrien-perez.com,Scarf,3,4369,13107,2023-02-21,Winter
152,Christopher Meyer,uwashington@hicks-barajas.info,Blazer,2,2984,5968,2024-09-16,Autumn
153,Rebecca Mcclain,andrewhudson@hotmail.com,Raincoat,5,1080,5400,2024-08-03,Monsoon
154,Larry Thomas,andrewsbrianna@pham.net,Boots,2,3788,7576,2023-12-28,Winter
155,Samuel Malone,scurtis@wong-duncan.info,Sneakers,1,500,500,2024-04-13,Spring
156,Ronald Tucker,jaygreene@barry-brown.info,Scarf,3,1646,4938,2024-02-21,Winter
157,Robert Davis,rebecca68@cruz.com,T-Shirt,5,4832,24160,2024-03-23,Spring
158,Megan Reed,kellerryan@yahoo.com,Raincoat,3,1040,3120,2023-09-15,Monsoon
159,Mr. Michael Schultz,danielle85@holder-donaldson.org,Boots,1,3934,3934,2023-01-24,Winter
160,Sarah Miller,jessicahill@anthony-vincent.net,Jacket,4,1082,4328,2024-02-26,Winter
161,Elizabeth Hampton,pamela72@williams.net,Boots,1,3653,3653,2024-01-17,Winter
162,Cynthia Smith,oterrell@gmail.com,Cardigan,2,3483,6966,2024-10-02,Autumn
163,Amanda Jones,williamsmatthew@yahoo.com,Umbrella,2,4189,8378,2024-09-28,Monsoon
164,Eric Dennis,amy39@massey.com,Shorts,5,3586,17930,2023-08-23,Summer
165,Lauren Smith,allendarin@hotmail.com,Sneakers,4,2759,11036,2023-04-23,Spring
166,Alex Warren,joan62@hotmail.com,Waterproof Shoes,5,3386,16930,2023-08-04,Monsoon
167,Kaitlyn Ferguson,jamescain@hall-collins.biz,Blazer,1,4267,4267,2023-11-28,Autumn
168,Christopher Nichols,schmidtdavid@douglas.com,Sandals,5,849,4245,2023-06-20,Summer
169,Edwin Williams,kevin05@owens-ortiz.com,Sweater,2,1316,2632,2024-02-14,Winter
170,Mary Molina,amandamontes@campbell.info,Shorts,2,3502,7004,2024-06-25,Summer
171,Arthur Johnston,vrojas@lopez-sanders.com,Loafers,2,1381,2762,2024-10-20,Autumn
172,Jacqueline Wilson,margaretryan@gmail.com,Loafers,3,2675,8025,2023-11-06,Autumn
173,Lauren Smith,williamjones@hotmail.com,Sandals,3,1662,4986,2024-06-04,Summer
174,Brittany Jones,stephenwillis@lawrence.com,Jeans,4,1688,6752,2024-05-28,Spring
175,Lori Mack,lisa84@perry-alvarado.net,Full-Sleeve Shirt,1,4494,4494,2024-11-07,Autumn
176,Thomas Russell,amandawilson@hotmail.com,Cardigan,2,621,1242,2024-10-24,Autumn
177,Jeffrey Cain,andrewandrews@lawrence.com,Scarf,4,3486,13944,2024-12-27,Winter
178,Mark Gibson,kelsey58@davis-martin.com,Full-Sleeve Shirt,3,4566,13698,2024-11-19,Autumn
179,Sarah Keith,brendastephens@ayers.info,T-Shirt,4,2628,10512,2023-05-07,Spring
180,Samantha Mcdowell,vjones@perez.com,Blazer,5,1357,6785,2024-10-19,Autumn
181,Ryan Duncan,nicholas48@gmail.com,Blazer,2,2818,5636,2023-11-04,Autumn
182,Ashley Little,chamberstravis@woodard.com,Sneakers,2,1174,2348,2023-03-14,Spring
183,Brianna Sanders,hjackson@gmail.com,Shorts,3,2027,6081,2023-06-25,Summer
184,Nicole Spencer,johnhenderson@howell-scott.net,Sneakers,1,3139,3139,2023-05-09,Spring
185,Marcus Patton,rwheeler@hotmail.com,Cardigan,1,4583,4583,2024-09-11,Autumn
186,Melissa Walker,john32@hotmail.com,Tank Top,2,2662,5324,2024-07-04,Summer
187,Ryan Lee,mary73@hotmail.com,Waterproof Shoes,2,3132,6264,2024-07-08,Monsoon
188,James Hutchinson,sarahlee@mercer.com,Blazer,5,2554,12770,2023-09-28,Autumn
189,Jessica Smith,adam58@stewart.com,Full-Sleeve Shirt,1,1901,1901,2024-10-01,Autumn
190,Angela King,jjohnson@wright-chavez.com,Cardigan,4,4886,19544,2023-09-13,Autumn
191,Luis Carlson,katherine48@garza.info,Boots,1,4404,4404,2023-01-11,Winter
192,Brandon Beasley,hallamanda@parker-schwartz.com,Loafers,3,3057,9171,2024-10-13,Autumn
193,Paige Graham,justinsullivan@hamilton.com,Raincoat,5,3016,15080,2023-06-24,Monsoon
194,Alejandro Evans,sherithomas@pena-reid.com,T-Shirt,2,3172,6344,2023-03-28,Spring
195,Carl Warner,varcher@yahoo.com,Sweater,1,1615,1615,2023-02-26,Winter
196,Kristine Martinez,turnercharles@hotmail.com,Waterproof Shoes,4,1360,5440,2024-09-22,Monsoon
197,Edward Ellison,wrightjeffery@hotmail.com,Cardigan,3,4811,14433,2024-11-08,Autumn
198,Ryan Moore,kathleen00@zimmerman.biz,Sneakers,3,1498,4494,2024-04-23,Spring
199,Stephanie Fischer,ochoakenneth@yahoo.com,Loafers,2,2002,4004,2025-09-27,Autumn
200,Nicole Lewis,timothyortega@hotmail.com,Shorts,5,3899,19495,2023-06-28,Summer
201,Tracy Ford,powellzachary@gmail.com,Jeans,1,1735,1735,2024-04-17,Spring
202,Anna Berg,ericksongary@walker.com,Sneakers,2,2803,5606,2024-05-24,Spring
203,Ms. Brooke Petersen,sarahlawson@bautista-anthony.net,Loafers,5,2525,12625,2024-11-07,Autumn
204,Amanda Clark,smithwayne@gmail.com,Blazer,4,3753,15012,2023-10-21,Autumn
205,Christy Miller,mreynolds@martin.com,Light Jacket,2,970,1940,2024-05-15,Spring
206,Holly Mcfarland,thomassmith@gmail.com,Light Jacket,1,671,671,2023-04-21,Spring
207,Kenneth Prince,qford@rogers.com,Sweater,1,2936,2936,2024-01-09,Winter
208,Christopher Rubio,turnercindy@carpenter.com,Full-Sleeve Shirt,3,1001,3003,2023-10-13,Autumn
209,Dylan Johnson,woodmatthew@hotmail.com,Light Jacket,5,2650,13250,2023-04-11,Spring
210,Peter Banks,kelli05@hensley-mitchell.info,Sandals,4,4337,17348,2024-08-20,Summer
211,Becky Goodwin,jthompson@hotmail.com,T-Shirt,4,930,3720,2024-03-22,Spring
212,Lori Reed,matthewclements@marshall.com,Sweater,4,2246,8984,2023-12-20,Winter
213,Jonathan Garcia,zachary62@hotmail.com,Loafers,5,2807,14035,2024-10-17,Autumn
214,Robert Copeland,mitchellkevin@hotmail.com,Sunglasses,1,2078,2078,2023-08-03,Summer
215,Angela Henderson,danastevens@gmail.com,Raincoat,2,3027,6054,2023-09-25,Monsoon
216,Andrew Irwin,russellreilly@yahoo.com,Sweater,4,2567,10268,2024-12-11,Winter
217,Sandra Wilson,john93@hotmail.com,Shorts,2,3839,7678,2024-08-01,Summer
218,Mary Swanson,leonardwatson@hotmail.com,Full-Sleeve Shirt,5,2223,11115,2025-09-08,Autumn
219,Michael Davis,martinezcynthia@parker.com,Sweater,1,2288,2288,2023-12-12,Winter
220,Traci Little,charlottedixon@miller.com,Umbrella,3,3093,9279,2023-06-23,Monsoon
221,Diana Barrett,ovillarreal@ward.com,Sunglasses,5,1821,9105,2023-07-24,Summer
222,Kristie Sullivan,wendyholmes@grant.com,Raincoat,4,3227,12908,2024-09-16,Monsoon
223,Kelly Rodriguez,campbelldiana@lawson.com,Tank Top,3,998,2994,2024-07-19,Summer
224,Jessica Acevedo,clarkjustin@gmail.com,Light Jacket,2,3395,6790,2023-04-20,Spring
225,Barry Norris,james45@yahoo.com,Waterproof Shoes,3,1315,3945,2024-07-16,Monsoon
226,Lindsay Cooley,emily17@rodriguez.com,Sandals,1,3698,3698,2023-08-21,Summer
227,Jordan Ortega,bakerapril@hotmail.com,Tank Top,3,1862,5586,2024-08-07,Summer
228,Dawn Andrews,kmiller@gmail.com,Full-Sleeve Shirt,5,2736,13680,2024-10-10,Autumn
229,William Barnes,tgraham@luna-kidd.info,Raincoat,5,3950,19750,2024-06-11,Monsoon
230,Robert Jackson,tony57@lewis.net,Sneakers,5,1686,8430,2024-05-04,Spring
231,Dalton Daniels,bradfordjill@watson.com,Sneakers,3,2255,6765,2024-04-28,Spring
232,Tiffany Lawson,fburgess@mooney-little.com,Jacket,4,4039,16156,2023-01-03,Winter
233,Jillian Bryant,eringonzalez@hotmail.com,Scarf,4,4591,18364,2024-01-19,Winter
234,Nathan Hansen,zcarey@mack-meyer.com,Sneakers,5,3597,17985,2023-03-26,Spring
235,Nancy Stokes,smithdestiny@yahoo.com,Boots,3,1875,5625,2023-01-07,Winter
236,Heather Houston,zcook@moore.com,Umbrella,4,2896,11584,2024-09-27,Monsoon
237,Patricia Mann,timothychen@yahoo.com,Loafers,3,3215,9645,2023-10-02,Autumn
238,Ms. Stacey Day,mckenzietran@davis.org,T-Shirt,2,1347,2694,2023-05-09,Spring
239,Matthew Torres,scottstacey@franklin-johnson.com,Full-Sleeve Shirt,3,3238,9714,2024-09-23,Autumn
240,Nicole Schwartz,greenkristine@bryant.com,Umbrella,2,4464,8928,2025-07-26,Monsoon
241,Glenn Morton,ian37@yahoo.com,Umbrella,2,851,1702,2024-07-15,Monsoon
242,Robert Johnson,ian08@roberts.org,Umbrella,3,3643,10929,2024-06-07,Monsoon
243,Michael Johnson,amandagallegos@yahoo.com,Sneakers,1,1839,1839,2023-03-09,Spring
244,Brian Bonilla,clopez@gmail.com,Full-Sleeve Shirt,5,1521,7605,2025-11-11,Autumn
245,Erin Fitzgerald,dhill@mejia.com,Full-Sleeve Shirt,3,784,2352,2024-10-21,Autumn
246,Hannah Smith,mhorn@hotmail.com,Tank Top,4,2820,11280,2024-06-08,Summer
247,Marc Byrd,alexanderblackwell@yahoo.com,Loafers,1,2976,2976,2024-09-03,Autumn
248,Carla Gates,sandrabaldwin@sosa.com,Sandals,1,4439,4439,2023-07-16,Summer
249,Samantha Cobb,popedanielle@jones.com,Sneakers,3,1153,3459,2024-04-15,Spring
250,William Rodriguez,sharonsmith@hotmail.com,Raincoat,5,4409,22045,2025-06-28,Monsoon
251,Jasmine Franklin,cassandraevans@gmail.com,Scarf,2,814,1628,2024-12-03,Winter
252,Lee Gardner,michelleramirez@hotmail.com,Sneakers,4,2625,10500,2023-03-20,Spring
253,Alexander Lopez,james08@murphy.com,Light Jacket,2,4868,9736,2023-03-12,Spring
254,Susan Thompson,garciachristian@lopez.info,Raincoat,1,1292,1292,2024-07-19,Monsoon
255,Kaylee Robinson,whitneyallen@mckenzie-little.com,Sneakers,2,2019,4038,2023-04-12,Spring
256,Christy Harper,clarkmaria@hotmail.com,Blazer,3,3191,9573,2023-09-15,Autumn
257,Regina Moore,wkeller@hill.com,Umbrella,2,1618,3236,2024-07-11,Monsoon
258,Jenna Peterson,jasmine97@gmail.com,Sneakers,1,3075,3075,2024-04-19,Spring
259,Ann Johnson,zpark@yahoo.com,Sneakers,3,1431,4293,2025-03-14,Spring
260,Jerry Simmons,heatherwalsh@gmail.com,Raincoat,2,1039,2078,2024-06-06,Monsoon
261,Brian Velez,martha36@watson-johnson.com,Scarf,1,538,538,2023-01-23,Winter
262,Victoria Martin,smithdustin@gmail.com,Raincoat,1,3102,3102,2023-07-12,Monsoon
263,Nathan Mathews,stephaniemartinez@webb.info,Waterproof Shoes,2,891,1782,2023-07-12,Monsoon
264,Heidi Hill,adam27@hotmail.com,Sneakers,1,3250,3250,2024-04-23,Spring
265,Dawn Lin,mccartyandrew@mercer.com,Jeans,1,2864,2864,2024-05-12,Spring
266,Kelly Cohen,christopherwilson@yahoo.com,Sandals,5,4598,22990,2023-08-17,Summer
267,Todd Hamilton,dhenderson@yahoo.com,Boots,5,1495,7475,2024-12-26,Winter
268,William Taylor,karenrodgers@wheeler.com,Sunglasses,5,2410,12050,2023-07-15,Summer
269,Brandon Brown,brenda98@hotmail.com,Sunglasses,3,2062,6186,2024-07-14,Summer
270,Sarah Miller,nicholasrichmond@jimenez.com,Raincoat,1,3219,3219,2023-07-25,Monsoon
271,Samuel Williamson,jenniferpacheco@yahoo.com,Full-Sleeve Shirt,4,4345,17380,2024-10-19,Autumn
272,Jeffery Stephens,alexrios@yahoo.com,Loafers,4,4808,19232,2024-09-21,Autumn
273,Hunter Hobbs DDS,haley48@yahoo.com,Sneakers,2,3004,6008,2024-05-27,Spring
274,Justin Peck,daniel16@yahoo.com,Cardigan,3,682,2046,2025-11-02,Autumn
275,Rebecca Nguyen,frankdanny@stein-graham.org,T-Shirt,3,1945,5835,2024-05-28,Spring
276,Mark Webb,mmunoz@yahoo.com,Blazer,1,860,860,2023-11-05,Autumn
277,Jacqueline Campbell,gordonnicole@mcconnell.org,Raincoat,2,3205,6410,2023-06-28,Monsoon
278,Daniel Leach,catherine41@yahoo.com,Light Jacket,5,1418,7090,2023-03-04,Spring
279,Gloria Thomas,juliehale@young.net,Loafers,3,4327,12981,2023-10-28,Autumn
280,Veronica Hernandez,grace36@bridges-summers.com,T-Shirt,3,4634,13902,2024-03-27,Spring
281,April Jackson,dsmith@yahoo.com,Sandals,4,3554,14216,2024-06-12,Summer
282,Diana Mcdaniel,wongteresa@hotmail.com,Raincoat,3,3137,9411,2023-07-28,Monsoon
283,Melinda Thompson,zayala@lamb.info,Sweater,2,4493,8986,2024-01-07,Winter
284,William Jimenez,cody90@davies-rangel.com,Tank Top,3,3004,9012,2024-07-28,Summer
