Customer_ID,Customer_Name,Email,Product,Quantity,Price_Per_Item,Total_Price,Purchase_Date,Season,Season_Number,Recency,Avg_Order_Value,Cluster_Label,Segment,Suggested_Campaign
26,William Sanders,wcox@yahoo.com,Boots,3,703,2109,2024-01-17,Winter,1,445,703.0,2,Lost Customers,Re-engagement Emails & Offers
27,Melanie Nelson,patrickwest@spencer-johnson.info,Sandals,4,1223,4892,2023-08-13,Summer,0,602,1223.0,2,Lost Customers,Re-engagement Emails & Offers
28,Adriana Lucas,gene83@schultz.com,Waterproof Shoes,4,2765,11060,2023-08-03,Monsoon,4,612,2765.0,2,Lost Customers,Re-engagement Emails & Offers
29,Emily Russell,masonowen@yahoo.com,Sandals,2,1545,3090,2024-07-16,Summer,0,264,1545.0,0,Low-Value Frequent Buyers,Discount Coupons & Loyalty Programs
30,Karen Hansen,dcarrillo@hotmail.com,Umbrella,1,3165,3165,2024-08-24,Monsoon,4,225,3165.0,1,High-Value Loyal Customers,Exclusive Membership & VIP Rewards
31,Margaret Hall,cunninghamkim@gmail.com,T-Shirt,4,3940,15760,2023-03-19,Spring,2,749,3940.0,3,Seasonal Buyers,Seasonal Promotions & Personalized Offers
32,Justin Macias,usmith@watson.info,Jeans,5,4921,24605,2023-03-03,Spring,2,765,4921.0,3,Seasonal Buyers,Seasonal Promotions & Personalized Offers
33,Vincent Solis,laurie13@yahoo.com,Boots,1,2334,2334,2024-01-22,Winter,1,440,2334.0,2,Lost Customers,Re-engagement Emails & Offers
34,Tina Carter,trevorbarron@scott.org,Sneakers,5,2516,12580,2024-05-22,Spring,2,319,2516.0,0,Low-Value Frequent Buyers,Discount Coupons & Loyalty Programs
35,Olivia Parrish,ystein@park-lawrence.org,Raincoat,4,600,2400,2023-09-16,Monsoon,4,568,600.0,2,Lost Customers,Re-engagement Emails & Offers
36,Brittney Cox,egraham@young.com,Raincoat,3,1475,4425,2024-07-28,Monsoon,4,252,1475.0,0,Low-Value Frequent Buyers,Discount Coupons & Loyalty Programs
37,Shaun Caldwell,tonya01@hotmail.com,Loafers,4,4491,17964,2024-11-07,Autumn,3,150,4491.0,1,High-Value Loyal Customers,Exclusive Membership & VIP Rewards
38,Edward Brown,michaelmartin@gonzalez.net,Scarf,2,2279,4558,2024-02-12,Winter,1,419,2279.0,0,Low-Value Frequent Buyers,Discount Coupons & Loyalty Programs
39,Lisa Sweeney,austin64@williams-ruiz.info,Scarf,1,2108,2108,2023-12-08,Winter,1,485,2108.0,2,Lost Customers,Re-engagement Emails & Offers
40,Joseph Rodriguez,andreahill@hartman-bowman.info,Loafers,1,1283,1283,2024-11-28,Autumn,3,129,1283.0,0,Low-Value Frequent Buyers,Discount Coupons & Loyalty Programs
41,Sabrina Martinez,kimberly57@gmail.com,Sneakers,4,4184,16736,2024-05-01,Spring,2,340,4184.0,1,High-Value Loyal Customers,Exclusive Membership & VIP Rewards
42,Gerald Phillips,wford@stevens.com,Tank Top,1,1119,1119,2024-08-16,Summer,0,233,1119.0,0,Low-Value Frequent Buyers,Discount Coupons & Loyalty Programs
43,Daniel Holmes,robert28@martinez-dominguez.com,Shorts,3,568,1704,2024-06-16,Summer,0,294,568.0,0,Low-Value Frequent Buyers,Discount Coupons & Loyalty Programs
44,Lynn Olsen,laceylane@jones.org,Sweater,3,652,1956,2023-02-26,Winter,1,770,652.0,2,Lost Customers,Re-engagement Emails & Offers
45,Denise Rodriguez,rachel14@gmail.com,Light Jacket,3,903,2709,2025-05-06,Spring,2,-30,903.0,0,Low-Value Frequent Buyers,Discount Coupons & Loyalty Programs
46,Amanda Kim,victorlawson@carpenter-martinez.com,Tank Top,2,1600,3200,2024-07-06,Summer,0,274,1600.0,0,Low-Value Frequent Buyers,Discount Coupons & Loyalty Programs
47,Chris Roach,matthew72@turner.biz,Full-Sleeve Shirt,4,594,2376,2024-09-25,Autumn,3,193,594.0,0,Low-Value Frequent Buyers,Discount Coupons & Loyalty Programs
48,Holly Davenport,rachel68@johnson.com,Tank Top,4,4917,19668,2023-07-17,Summer,0,629,4917.0,3,Seasonal Buyers,Seasonal Promotions & Personalized Offers
49,Tracy Gates,andersonbridget@johnson.com,Boots,2,3135,6270,2024-02-25,Winter,1,406,3135.0,1,High-Value Loyal Customers,Exclusive Membership & VIP Rewards
50,James Cannon,sarahbowers@yahoo.com,Loafers,1,4296,4296,2024-10-09,Autumn,3,179,4296.0,1,High-Value Loyal Customers,Exclusive Membership & VIP Rewards
51,Amanda Schwartz,lmcfarland@tanner.org,Sweater,2,2018,4036,2024-12-20,Winter,1,107,2018.0,0,Low-Value Frequent Buyers,Discount Coupons & Loyalty Programs
52,Kelly Miller,yfarley@hotmail.com,Cardigan,1,2671,2671,2024-10-12,Autumn,3,176,2671.0,0,Low-Value Frequent Buyers,Discount Coupons & Loyalty Programs
53,Steven Webb,lsmith@smith.com,Light Jacket,1,2667,2667,2023-05-14,Spring,2,693,2667.0,2,Lost Customers,Re-engagement Emails & Offers
54,Corey Mora,justin75@gmail.com,Waterproof Shoes,5,2172,10860,2023-09-26,Monsoon,4,558,2172.0,2,Lost Customers,Re-engagement Emails & Offers
55,Jade Hunter,hammondmelanie@hotmail.com,Sunglasses,4,1820,7280,2024-07-28,Summer,0,252,1820.0,0,Low-Value Frequent Buyers,Discount Coupons & Loyalty Programs
56,Nancy Carrillo,justin22@gmail.com,Blazer,4,2063,8252,2023-09-28,Autumn,3,556,2063.0,2,Lost Customers,Re-engagement Emails & Offers
57,Kylie Chen,donna25@hotmail.com,Umbrella,2,4427,8854,2024-06-13,Monsoon,4,297,4427.0,1,High-Value Loyal Customers,Exclusive Membership & VIP Rewards
58,Sean Hill,conwayamber@brooks.net,Sandals,2,2625,5250,2024-06-18,Summer,0,292,2625.0,0,Low-Value Frequent Buyers,Discount Coupons & Loyalty Programs
59,Jessica Mills,oscott@gmail.com,Boots,1,4321,4321,2023-12-20,Winter,1,473,4321.0,3,Seasonal Buyers,Seasonal Promotions & Personalized Offers
60,Patrick Dennis,michael86@hotmail.com,Jacket,4,3606,14424,2024-01-10,Winter,1,452,3606.0,3,Seasonal Buyers,Seasonal Promotions & Personalized Offers
61,Jason Bailey,nsmith@hotmail.com,Sneakers,4,1208,4832,2023-05-03,Spring,2,704,1208.0,2,Lost Customers,Re-engagement Emails & Offers
62,Kelly Daniels,raymondkyle@gmail.com,Sandals,3,1303,3909,2023-06-01,Summer,0,675,1303.0,2,Lost Customers,Re-engagement Emails & Offers
63,Vanessa Ferguson,eblack@hotmail.com,T-Shirt,3,4652,13956,2023-05-16,Spring,2,691,4652.0,3,Seasonal Buyers,Seasonal Promotions & Personalized Offers
64,Michael Bradley,tyu@kelley.com,Light Jacket,3,3250,9750,2024-03-15,Spring,2,387,3250.0,1,High-Value Loyal Customers,Exclusive Membership & VIP Rewards
65,Terry Smith,xhoward@hotmail.com,Sunglasses,4,3245,12980,2024-06-22,Summer,0,288,3245.0,1,High-Value Loyal Customers,Exclusive Membership & VIP Rewards
66,Ronald Smith,mvance@yahoo.com,Light Jacket,3,4836,14508,2024-05-20,Spring,2,321,4836.0,1,High-Value Loyal Customers,Exclusive Membership & VIP Rewards
67,Rodney Vargas,dsmith@hotmail.com,Sunglasses,2,933,1866,2024-06-13,Summer,0,297,933.0,0,Low-Value Frequent Buyers,Discount Coupons & Loyalty Programs
68,Gary Carter,daycheryl@valenzuela.com,Sunglasses,3,795,2385,2023-08-11,Summer,0,604,795.0,2,Lost Customers,Re-engagement Emails & Offers
69,Edwin May,christineallen@hotmail.com,Jeans,4,2570,10280,2023-05-22,Spring,2,685,2570.0,2,Lost Customers,Re-engagement Emails & Offers
70,Mary Lopez,dustinjohnson@hotmail.com,Waterproof Shoes,3,3373,10119,2024-06-12,Monsoon,4,298,3373.0,1,High-Value Loyal Customers,Exclusive Membership & VIP Rewards
71,Monica Green,chenann@hotmail.com,Full-Sleeve Shirt,4,2133,8532,2024-10-28,Autumn,3,160,2133.0,0,Low-Value Frequent Buyers,Discount Coupons & Loyalty Programs
72,Jeffrey Fletcher,morristracie@yahoo.com,Blazer,3,514,1542,2023-09-22,Autumn,3,562,514.0,2,Lost Customers,Re-engagement Emails & Offers
73,Kim Logan,victoriacummings@goodwin.com,Sweater,1,2955,2955,2024-12-08,Winter,1,119,2955.0,1,High-Value Loyal Customers,Exclusive Membership & VIP Rewards
74,Jody Black,emmaduncan@hotmail.com,Light Jacket,3,3213,9639,2023-04-12,Spring,2,725,3213.0,3,Seasonal Buyers,Seasonal Promotions & Personalized Offers
75,Anthony Ray,derekedwards@young-weiss.com,Boots,5,1461,7305,2024-12-03,Winter,1,124,1461.0,0,Low-Value Frequent Buyers,Discount Coupons & Loyalty Programs
76,Scott Sparks,brandon91@hotmail.com,Sweater,4,3805,15220,2024-12-12,Winter,1,115,3805.0,1,High-Value Loyal Customers,Exclusive Membership & VIP Rewards
77,Stephen Camacho,hannah66@johnston.net,Loafers,4,4683,18732,2023-11-01,Autumn,3,522,4683.0,3,Seasonal Buyers,Seasonal Promotions & Personalized Offers
78,Michael Alvarado,ramospatricia@hotmail.com,Blazer,3,3240,9720,2024-11-22,Autumn,3,135,3240.0,1,High-Value Loyal Customers,Exclusive Membership & VIP Rewards
79,Danielle Jenkins,rachelhudson@hotmail.com,Boots,1,2216,2216,2024-02-04,Winter,1,427,2216.0,2,Lost Customers,Re-engagement Emails & Offers
80,Mrs. Robin Dunn PhD,melissa03@gmail.com,Umbrella,4,1111,4444,2024-06-24,Monsoon,4,286,1111.0,0,Low-Value Frequent Buyers,Discount Coupons & Loyalty Programs
81,Sean Gonzalez,dennisstout@hotmail.com,Light Jacket,4,3049,12196,2023-03-14,Spring,2,754,3049.0,3,Seasonal Buyers,Seasonal Promotions & Personalized Offers
82,Christina Burke,dannyarnold@hotmail.com,Waterproof Shoes,4,1093,4372,2024-07-18,Monsoon,4,262,1093.0,0,Low-Value Frequent Buyers,Discount Coupons & Loyalty Programs
83,David Adkins,stephanie80@yahoo.com,Sandals,4,2611,10444,2023-08-07,Summer,0,608,2611.0,2,Lost Customers,Re-engagement Emails & Offers
84,Vanessa Owens,drewortiz@gmail.com,Loafers,4,4274,17096,2024-10-28,Autumn,3,160,4274.0,1,High-Value Loyal Customers,Exclusive Membership & VIP Rewards
85,Kiara Thomas,michaelboyd@yahoo.com,Cardigan,3,4980,14940,2023-09-02,Autumn,3,582,4980.0,3,Seasonal Buyers,Seasonal Promotions & Personalized Offers
86,Tabitha Robinson,cameronandrew@gmail.com,Sunglasses,3,4008,12024,2023-06-25,Summer,0,651,4008.0,3,Seasonal Buyers,Seasonal Promotions & Personalized Offers
87,Jeffrey Knight,monica39@martinez.com,Jeans,3,4146,12438,2024-03-07,Spring,2,395,4146.0,1,High-Value Loyal Customers,Exclusive Membership & VIP Rewards
88,Sharon Brooks,kerri43@hotmail.com,Waterproof Shoes,1,1599,1599,2025-06-01,Monsoon,4,-56,1599.0,0,Low-Value Frequent Buyers,Discount Coupons & Loyalty Programs
89,Joshua Hopkins,luismyers@roberts-dominguez.com,Blazer,2,4099,8198,2023-10-07,Autumn,3,547,4099.0,3,Seasonal Buyers,Seasonal Promotions & Personalized Offers
90,Kenneth Contreras,brittanyrogers@yahoo.com,Cardigan,1,3499,3499,2023-09-09,Autumn,3,575,3499.0,3,Seasonal Buyers,Seasonal Promotions & Personalized Offers
91,Samantha Moreno,ogarza@gmail.com,Jeans,1,4301,4301,2023-03-01,Spring,2,767,4301.0,3,Seasonal Buyers,Seasonal Promotions & Personalized Offers
92,Christopher Scott,cwelch@hotmail.com,Loafers,3,3963,11889,2023-09-27,Autumn,3,557,3963.0,3,Seasonal Buyers,Seasonal Promotions & Personalized Offers
93,Arthur Young,jenniferhernandez@yahoo.com,Sneakers,2,4737,9474,2024-05-08,Spring,2,333,4737.0,1,High-Value Loyal Customers,Exclusive Membership & VIP Rewards
94,Amanda Grimes,jennifer14@hotmail.com,Scarf,3,4322,12966,2024-01-20,Winter,1,442,4322.0,3,Seasonal Buyers,Seasonal Promotions & Personalized Offers
95,Kenneth Williams,angela59@obrien-rivera.com,Cardigan,2,3392,6784,2025-11-05,Autumn,3,-213,3392.0,1,High-Value Loyal Customers,Exclusive Membership & VIP Rewards
96,John Monroe,ryan51@smith.com,Scarf,3,549,1647,2023-12-26,Winter,1,467,549.0,2,Lost Customers,Re-engagement Emails & Offers
97,Regina Savage,angelawashington@hopkins.org,Boots,4,3786,15144,2024-02-28,Winter,1,403,3786.0,1,High-Value Loyal Customers,Exclusive Membership & VIP Rewards
98,Kimberly Carr,ryan60@cordova.org,Jacket,2,2447,4894,2023-12-23,Winter,1,470,2447.0,2,Lost Customers,Re-engagement Emails & Offers
99,Laura Schaefer,tsmith@gmail.com,Full-Sleeve Shirt,5,1337,6685,2023-10-24,Autumn,3,530,1337.0,2,Lost Customers,Re-engagement Emails & Offers
100,Zachary Velez,barnesjasmine@phillips.net,Umbrella,4,3871,15484,2024-06-24,Monsoon,4,286,3871.0,1,High-Value Loyal Customers,Exclusive Membership & VIP Rewards
101,Ronald Sullivan,mwalker@larsen-contreras.com,Sunglasses,4,4536,18144,2024-07-20,Summer,0,260,4536.0,1,High-Value Loyal Customers,Exclusive Membership & VIP Rewards
102,Virginia Berry,elizabeth51@yahoo.com,Blazer,5,4726,23630,2024-09-27,Autumn,3,191,4726.0,1,High-Value Loyal Customers,Exclusive Membership & VIP Rewards
103,Kathryn Palmer,phillipmurphy@yahoo.com,Sneakers,3,4095,12285,2023-05-14,Spring,2,693,4095.0,3,Seasonal Buyers,Seasonal Promotions & Personalized Offers
104,Charles Jones,tanya46@hotmail.com,Light Jacket,1,1530,1530,2024-05-23,Spring,2,318,1530.0,0,Low-Value Frequent Buyers,Discount Coupons & Loyalty Programs
105,Shannon Williams,karen45@yahoo.com,Light Jacket,1,3355,3355,2023-04-07,Spring,2,730,3355.0,3,Seasonal Buyers,Seasonal Promotions & Personalized Offers
106,Lawrence Johnson,walkerrobert@brown.com,T-Shirt,5,979,4895,2024-03-17,Spring,2,385,979.0,0,Low-Value Frequent Buyers,Discount Coupons & Loyalty Programs
107,Jack Evans,eddie13@yahoo.com,Raincoat,2,3168,6336,2024-09-28,Monsoon,4,190,3168.0,1,High-Value Loyal Customers,Exclusive Membership & VIP Rewards
108,Mark Coleman,paul84@williams-johnson.com,Sweater,5,2376,11880,2023-02-11,Winter,1,785,2376.0,2,Lost Customers,Re-engagement Emails & Offers
109,Ellen Robinson,melissa15@gmail.com,T-Shirt,3,693,2079,2024-05-12,Spring,2,329,693.0,0,Low-Value Frequent Buyers,Discount Coupons & Loyalty Programs
110,Billy Kelly,mmayo@bell.com,Waterproof Shoes,1,3571,3571,2024-06-28,Monsoon,4,282,3571.0,1,High-Value Loyal Customers,Exclusive Membership & VIP Rewards
111,Julia Dixon,kathybanks@matthews.org,Tank Top,4,2708,10832,2023-07-16,Summer,0,630,2708.0,2,Lost Customers,Re-engagement Emails & Offers
112,Matthew Walters,theresajackson@yahoo.com,Sunglasses,3,2260,6780,2024-06-07,Summer,0,303,2260.0,0,Low-Value Frequent Buyers,Discount Coupons & Loyalty Programs
113,Jessica Rowe,mdavis@miller.info,Boots,5,2606,13030,2025-01-04,Winter,1,92,2606.0,0,Low-Value Frequent Buyers,Discount Coupons & Loyalty Programs
114,Ronald Gutierrez,antonio41@todd.com,Umbrella,4,3371,13484,2023-07-26,Monsoon,4,620,3371.0,3,Seasonal Buyers,Seasonal Promotions & Personalized Offers
115,Abigail Dominguez,evanskatherine@horton.com,Sweater,5,3564,17820,2023-01-01,Winter,1,826,3564.0,3,Seasonal Buyers,Seasonal Promotions & Personalized Offers
116,Patricia Blackwell,baldwingeorge@vasquez.biz,Light Jacket,2,2248,4496,2024-04-07,Spring,2,364,2248.0,0,Low-Value Frequent Buyers,Discount Coupons & Loyalty Programs
117,Lisa Taylor,dominguezsamantha@peters.net,Blazer,2,2510,5020,2024-09-15,Autumn,3,203,2510.0,0,Low-Value Frequent Buyers,Discount Coupons & Loyalty Programs
118,Vanessa Richard,peterskara@hotmail.com,Scarf,4,2435,9740,2023-01-21,Winter,1,806,2435.0,2,Lost Customers,Re-engagement Emails & Offers
119,Jordan Garcia,meyerlori@gmail.com,Blazer,4,4073,16292,2023-10-12,Autumn,3,542,4073.0,3,Seasonal Buyers,Seasonal Promotions & Personalized Offers
120,Tommy Baldwin,michellespencer@delgado.com,Umbrella,3,3009,9027,2023-07-09,Monsoon,4,637,3009.0,3,Seasonal Buyers,Seasonal Promotions & Personalized Offers
121,Lisa Morales,toni65@dean.com,Blazer,5,648,3240,2023-09-26,Autumn,3,558,648.0,2,Lost Customers,Re-engagement Emails & Offers
122,Brian Whitaker,epowers@hotmail.com,Scarf,1,3144,3144,2024-01-01,Winter,1,461,3144.0,3,Seasonal Buyers,Seasonal Promotions & Personalized Offers
123,Lindsey Kaufman,paulbrooks@cain-kelley.com,Waterproof Shoes,1,4758,4758,2024-07-07,Monsoon,4,273,4758.0,1,High-Value Loyal Customers,Exclusive Membership & VIP Rewards
124,Tyler Johnson,travisstewart@hotmail.com,Full-Sleeve Shirt,1,4590,4590,2024-10-28,Autumn,3,160,4590.0,1,High-Value Loyal Customers,Exclusive Membership & VIP Rewards
125,Austin Hart,kristin84@nunez.com,T-Shirt,4,3332,13328,2024-03-25,Spring,2,377,3332.0,1,High-Value Loyal Customers,Exclusive Membership & VIP Rewards
126,Brian Moore,danielle01@yahoo.com,Scarf,5,3405,17025,2024-12-28,Winter,1,99,3405.0,1,High-Value Loyal Customers,Exclusive Membership & VIP Rewards
127,Melissa Hudson,amaxwell@gmail.com,Waterproof Shoes,1,2446,2446,2024-06-05,Monsoon,4,305,2446.0,0,Low-Value Frequent Buyers,Discount Coupons & Loyalty Programs
128,Christina Curtis,tsteele@taylor.org,Loafers,3,951,2853,2023-10-13,Autumn,3,541,951.0,2,Lost Customers,Re-engagement Emails & Offers
129,Zachary Sullivan,juan95@yahoo.com,Shorts,2,4063,8126,2024-07-19,Summer,0,261,4063.0,1,High-Value Loyal Customers,Exclusive Membership & VIP Rewards
130,Jack Lewis,floresgary@anderson.net,Raincoat,1,1560,1560,2023-06-09,Monsoon,4,667,1560.0,2,Lost Customers,Re-engagement Emails & Offers
131,Zachary Avila,ronald09@gmail.com,Tank Top,3,1861,5583,2024-06-17,Summer,0,293,1861.0,0,Low-Value Frequent Buyers,Discount Coupons & Loyalty Programs
132,Laura Johnson,james10@hotmail.com,Boots,4,612,2448,2023-12-04,Winter,1,489,612.0,2,Lost Customers,Re-engagement Emails & Offers
133,Krystal Little,fstevens@boyer.com,Loafers,2,4920,9840,2024-09-21,Autumn,3,197,4920.0,1,High-Value Loyal Customers,Exclusive Membership & VIP Rewards
134,Lisa Gibbs,ljones@parrish.org,Blazer,1,2216,2216,2023-10-18,Autumn,3,536,2216.0,2,Lost Customers,Re-engagement Emails & Offers
135,Jennifer Miles,amy48@anderson.biz,Boots,4,4566,18264,2024-01-28,Winter,1,434,4566.0,3,Seasonal Buyers,Seasonal Promotions & Personalized Offers
136,Mr. Ryan May,martinmia@yahoo.com,Umbrella,1,1293,1293,2024-07-09,Monsoon,4,271,1293.0,0,Low-Value Frequent Buyers,Discount Coupons & Loyalty Programs
137,Gary Perez,vhogan@chavez.com,Raincoat,4,1487,5948,2024-07-03,Monsoon,4,277,1487.0,0,Low-Value Frequent Buyers,Discount Coupons & Loyalty Programs
138,Susan Lopez,fraziercynthia@hotmail.com,Tank Top,1,3284,3284,2024-07-18,Summer,0,262,3284.0,1,High-Value Loyal Customers,Exclusive Membership & VIP Rewards
139,Audrey Li,mary03@nguyen-haynes.biz,Full-Sleeve Shirt,2,3969,7938,2024-10-27,Autumn,3,161,3969.0,1,High-Value Loyal Customers,Exclusive Membership & VIP Rewards
140,Stephanie Goodman,kaylarose@arnold.com,Umbrella,2,1001,2002,2024-07-04,Monsoon,4,276,1001.0,0,Low-Value Frequent Buyers,Discount Coupons & Loyalty Programs
141,Breanna Hayes,nguyenlinda@smith-charles.com,Raincoat,2,1522,3044,2023-06-22,Monsoon,4,654,1522.0,2,Lost Customers,Re-engagement Emails & Offers
142,Sonia Mccormick,blankenshipcolleen@sullivan-patrick.biz,Jeans,2,3546,7092,2025-05-08,Spring,2,-32,3546.0,1,High-Value Loyal Customers,Exclusive Membership & VIP Rewards
143,Gary Allen,louis18@robbins.com,Sneakers,5,4052,20260,2023-03-05,Spring,2,763,4052.0,3,Seasonal Buyers,Seasonal Promotions & Personalized Offers
144,Denise Schultz,michaelpratt@gmail.com,Waterproof Shoes,3,2917,8751,2023-09-28,Monsoon,4,556,2917.0,3,Seasonal Buyers,Seasonal Promotions & Personalized Offers
145,Tammy Elliott,carla93@hotmail.com,Loafers,3,721,2163,2025-10-07,Autumn,3,-184,721.0,0,Low-Value Frequent Buyers,Discount Coupons & Loyalty Programs
146,Terry Meyers,matthewwheeler@williams.net,Jeans,2,1941,3882,2024-03-12,Spring,2,390,1941.0,0,Low-Value Frequent Buyers,Discount Coupons & Loyalty Programs
147,Mary Sullivan,jose12@hotmail.com,Boots,3,3105,9315,2023-12-10,Winter,1,483,3105.0,3,Seasonal Buyers,Seasonal Promotions & Personalized Offers
148,Krista House,mirandamichelle@gmail.com,Umbrella,5,4222,21110,2025-08-08,Monsoon,4,-124,4222.0,1,High-Value Loyal Customers,Exclusive Membership & VIP Rewards
149,Sean Mcdowell,johnpowell@fowler.com,Scarf,2,2776,5552,2024-01-22,Winter,1,440,2776.0,3,Seasonal Buyers,Seasonal Promotions & Personalized Offers
150,Nicole Reyes,brian54@hotmail.com,Tank Top,3,4336,13008,2024-06-15,Summer,0,295,4336.0,1,High-Value Loyal Customers,Exclusive Membership & VIP Rewards
151,Darren Burnett,johnstevens@obrien-perez.com,Scarf,3,4369,13107,2023-02-21,Winter,1,775,4369.0,3,Seasonal Buyers,Seasonal Promotions & Personalized Offers
152,Christopher Meyer,uwashington@hicks-barajas.info,Blazer,2,2984,5968,2024-09-16,Autumn,3,202,2984.0,1,High-Value Loyal Customers,Exclusive Membership & VIP Rewards
153,Rebecca Mcclain,andrewhudson@hotmail.com,Raincoat,5,1080,5400,2024-08-03,Monsoon,4,246,1080.0,0,Low-Value Frequent Buyers,Discount Coupons & Loyalty Programs
154,Larry Thomas,andrewsbrianna@pham.net,Boots,2,3788,7576,2023-12-28,Winter,1,465,3788.0,3,Seasonal Buyers,Seasonal Promotions & Personalized Offers
155,Samuel Malone,scurtis@wong-duncan.info,Sneakers,1,500,500,2024-04-13,Spring,2,358,500.0,0,Low-Value Frequent Buyers,Discount Coupons & Loyalty Programs
156,Ronald Tucker,jaygreene@barry-brown.info,Scarf,3,1646,4938,2024-02-21,Winter,1,410,1646.0,0,Low-Value Frequent Buyers,Discount Coupons & Loyalty Programs
157,Robert Davis,rebecca68@cruz.com,T-Shirt,5,4832,24160,2024-03-23,Spring,2,379,4832.0,1,High-Value Loyal Customers,Exclusive Membership & VIP Rewards
158,Megan Reed,kellerryan@yahoo.com,Raincoat,3,1040,3120,2023-09-15,Monsoon,4,569,1040.0,2,Lost Customers,Re-engagement Emails & Offers
